ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781172431.309903,4.314441442489624,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1129723224,1201,19,0.08113,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172431.4100873,4.414625883102417,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1126401493,1200,19,0.08113,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172431.5105739,4.515112400054932,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1122978613,1201,21,0.08967,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172431.6107574,4.615295886993408,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1119657059,1201,18,0.07686,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172431.711157,4.71569561958313,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1116301612,1201,21,0.08967,18,0.043038,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172431.811194,4.815732479095459,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1112912683,1201,20,0.0854,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172431.9112864,4.915824890136719,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1109557381,1201,19,0.08113,18,0.043038,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.011459,5.015997648239136,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1106168070,1201,19,0.08113,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.1115596,5.116098165512085,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1102846498,1201,20,0.0854,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.2118073,5.21634578704834,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1099491041,1202,19,0.08113,17,0.040647,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.312255,5.316793441772461,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1096102108,1201,21,0.08967,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.4123366,5.416875123977661,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1092746772,1201,19,0.08113,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.5124123,5.516950845718384,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1089357465,1201,20,0.0854,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.612594,5.6171324253082275,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1086002275,1201,21,0.08967,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.7132726,5.717811107635498,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1082613128,1202,20,0.0854,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.8134315,5.817970037460327,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1079257916,1201,21,0.08967,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172432.9139278,5.918466329574585,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1075936165,1201,19,0.08113,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.0141196,6.01865816116333,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1072580589,1201,19,0.08113,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.1141737,6.1187121868133545,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1069191747,1201,20,0.0854,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.2147455,6.2192840576171875,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1065869802,1202,21,0.08967,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.3148274,6.319365978240967,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1062480954,1201,21,0.08967,22,0.052602,307,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.4148672,6.419405698776245,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1059091926,1202,20,0.0854,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.5153875,6.519926071166992,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1055736407,1201,17,0.07259,21,0.050211,307,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.616117,6.620655536651611,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1052347603,1201,22,0.09394,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.716147,6.7206854820251465,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1048992022,1202,20,0.0854,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.8164995,6.821038007736206,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1045636811,1201,20,0.0854,22,0.052602,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172433.9171896,6.921728134155273,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1042281377,1202,21,0.08967,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172434.0173466,7.02188515663147,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1038892313,1201,17,0.07259,17,0.040647,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172434.117853,7.12239146232605,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1035537135,1201,16,0.06832,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172434.2182496,7.222788095474243,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1032181552,1201,17,0.07259,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172434.3185127,7.32305121421814,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1028792829,1201,21,0.08967,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172434.4186335,7.4231719970703125,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1025403649,1202,20,0.0854,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172434.518871,7.523409605026245,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1022081798,1201,24,0.10248,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
