ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781171975.8019507,4.916262149810791,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2008734684,599,21,0.08967,20,0.04782,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171975.9026954,5.017006874084473,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2007038705,600,14,0.05978,13,0.031083,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.0030334,5.117344856262207,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2005343139,598,19,0.08113,18,0.043038,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.1032486,5.217560052871704,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2003677253,600,6,0.02562,4,0.009564,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.2037766,5.318088054656982,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2001987822,600,20,0.0854,20,0.04782,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.3042214,5.418532848358154,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2000336691,595,44,0.18788,44,0.105204,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.4047115,5.5190229415893555,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1998647740,597,58,0.24766,57,0.136287,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.5067394,5.621050834655762,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1996906826,602,59,0.25193,59,0.141069,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.607027,5.721338510513306,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1995228613,607,59,0.25193,57,0.136287,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171976.7074382,5.821749687194824,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1993538142,605,18,0.07686,17,0.040647,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
