ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781173663.965392,3.409917116165161,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425601,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.065786,3.5103108882904053,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.1660316,3.6105566024780273,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.2661889,3.7107138633728027,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.36676,3.8112850189208984,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.4670935,3.91161847114563,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.5674214,4.011946439743042,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.6674726,4.111997604370117,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.767835,4.21235990524292,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.8682077,4.312732696533203,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425599,0,2,0.00854,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173664.968422,4.412946939468384,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.068988,4.513513088226318,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425599,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.1694016,4.613926649093628,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.269557,4.7140820026397705,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425611,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.370134,4.814659118652344,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425585,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.4701836,4.914708614349365,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425611,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.5705936,5.015118598937988,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.6710613,5.115586280822754,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425595,0,2,0.00854,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.7712765,5.215801477432251,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425601,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.8714042,5.315929174423218,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425585,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173665.9717689,5.4162938594818115,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,2,0.00854,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173666.0721855,5.516710519790649,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425599,0,1,0.00427,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173666.1724954,5.61702036857605,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
