ts,statusword,mode_display,position,velocity,torque,current,error_code,rated_current,rated_torque,max_motor_speed,dc_bus_voltage,drive_temp,current_A,torque_Nm
1776839605.893638,1591,1,-46603388,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839605.994223,1591,1,-46603404,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839606.094337,1591,1,-46603422,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839606.194621,1591,1,-46603420,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839606.2947214,1591,1,-46603426,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839606.4214556,1591,1,-46603372,0,-17,-17,0,4270,2391,6000,304,37,-0.07259,-0.040647
1776839606.5217838,1591,1,-46603368,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839606.6223316,1591,1,-46603372,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839606.7229073,1591,1,-46603376,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839606.8230972,1591,1,-46603400,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839606.927842,1591,1,-46603366,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.0281715,1591,1,-46603352,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.1282723,1591,1,-46603362,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839607.2284963,1591,1,-46603356,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.328573,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.4535804,1591,1,-46603394,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.553706,1591,1,-46603394,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839607.6542306,1591,1,-46603410,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839607.7543578,1591,1,-46603422,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839607.8544939,1591,1,-46603422,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.9696221,1591,1,-46603372,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839608.07028,1591,1,-46603342,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839608.1706967,1591,1,-46603356,0,-16,-17,0,4270,2391,6000,304,37,-0.07259,-0.038256
1776839608.2709496,1591,1,-46603348,0,-16,-16,0,4270,2391,6000,304,37,-0.06832,-0.038256
1776839608.3712754,1591,1,-46603362,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839608.4883494,1591,1,-46603362,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839608.5886335,1591,1,-46603352,0,-17,-17,0,4270,2391,6000,304,37,-0.07259,-0.040647
1776839608.688789,1591,1,-46603352,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839608.7892408,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839608.8894966,1591,1,-46603352,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839609.0095387,1591,1,-46603362,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839609.1100993,1591,1,-46603348,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839609.2103584,1591,1,-46603362,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839609.3107553,1591,1,-46603372,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839609.4111907,1591,1,-46603368,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839609.5297256,1591,1,-46603376,0,-17,-15,0,4270,2391,6000,305,37,-0.06405,-0.040647
1776839609.6298764,1591,1,-46603372,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839609.7303987,1591,1,-46603362,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839609.830834,1591,1,-46603356,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839609.9309838,1591,1,-46603362,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839610.0502937,1591,1,-46603372,0,-15,-17,0,4270,2391,6000,305,37,-0.07259,-0.035865
1776839610.1506596,1591,1,-46603346,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839610.2513442,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839610.3521097,1591,1,-46603372,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839610.4525065,1591,1,-46603372,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839610.5690596,1591,1,-46603362,0,-16,-15,0,4270,2391,6000,305,37,-0.06405,-0.038256
1776839610.6697376,1591,1,-46603356,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839610.7698858,1591,1,-46603352,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839610.8699605,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839610.9701202,1591,1,-46603358,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839611.0966856,1591,1,-46603384,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839611.1971483,1591,1,-46603378,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839611.297352,1591,1,-46603368,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839611.397536,1591,1,-46603356,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839611.4978108,1591,1,-46603366,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839611.6004233,1591,1,-46603358,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839611.7006383,1591,1,-46603348,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839611.8008497,1591,1,-46603356,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839611.9011428,1591,1,-46603372,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839612.001289,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839612.1015818,1591,1,-46603372,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839612.2018027,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839612.3020022,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839612.4024568,1591,1,-46603372,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839612.5027246,1591,1,-46603372,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839612.6128826,1591,1,-46603366,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839612.7137551,1591,1,-46603404,0,-16,-15,0,4270,2391,6000,305,37,-0.06405,-0.038256
1776839612.8140616,1591,1,-46603398,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839612.91448,1591,1,-46603404,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839613.0148492,1591,1,-46603416,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839613.115029,1591,1,-46603404,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839613.215479,1591,1,-46603398,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839613.3158462,1591,1,-46603404,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839613.416134,1591,1,-46603384,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839613.5166705,1591,1,-46603378,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839613.6168635,1591,1,-46603382,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839613.7171707,1591,1,-46603384,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839613.8175628,1591,1,-46603368,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839613.9178276,1591,1,-46603376,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839614.0179386,1591,1,-46603352,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
